Date-Time;Latitude;Longitude;Altitude(cm);GPSSpeed(mknots);CarSpeed(Km/h);Engine(RPM);CarLoad(%);MassAir(g/s);AccelX(g);AccelY(g);AccelZ(g);GyroX(dps);GyroY(dps);GyroZ(dps);T_OBD(ms);T_SAVE(ms);T_MAIN(ms)
7/6/2021-2:44:26.100;508565233;45363665;7590;17102;31;1241;0;8;-0.0439;-0.7847;0.3484;1.89;-3.01;-2.10;18;32;50
7/6/2021-2:44:26.200;508565160;45363705;7590;16920;30;1226;0;8;-0.1230;-11.683;0.3504;-0.21;-10.71;-9.31;18;36;54
7/6/2021-2:44:26.300;508565090;45363745;7600;16522;29;1146;0;7;-0.2201;-10.136;0.1640;7.35;0.07;-1.96;21;31;49
7/6/2021-2:44:26.400;508565018;45363780;7600;16194;29;1028;23;14;-0.0049;-0.9814;0.2547;0.35;-6.37;-4.20;21;32;53
7/6/2021-2:44:26.500;508564952;45363820;7600;15723;28;937;27;7;0.0346;-0.6520;0.0298;2.45;-2.66;-1.05;22;32;53
7/6/2021-2:44:26.600;508564887;45363855;7600;15159;27;916;14;8;0.0293;-0.8237;0.3035;0.21;-4.69;-4.69;21;37;59
7/6/2021-2:44:26.700;508564827;45363892;7610;14628;26;931;20;7;0.0781;-0.8716;0.3479;1.19;-6.44;-5.32;18;32;53
7/6/2021-2:44:26.800;508564763;45363925;7610;14489;25;917;21;6;0.0156;-10.843;0.4270;2.24;-1.47;-1.54;19;32;50
7/6/2021-2:44:26.900;508564702;45363957;7620;14098;24;910;20;7;-0.0273;-0.9004;0.2406;1.82;-1.33;-0.35;18;30;49
7/6/2021-2:44:27.0;508564643;45363983;7630;13600;23;909;20;7;-0.0210;-0.8457;0.4704;4.76;-2.87;-5.04;18;32;50
7/6/2021-2:44:27.100;508564587;45364012;7630;13209;22;908;18;7;-0.0400;-0.7413;0.4914;6.02;-2.94;-4.20;19;36;54
7/6/2021-2:44:27.200;508564535;45364043;7640;12659;22;901;20;7;0.0342;-0.8935;0.5305;2.73;-4.55;-1.68;18;30;49
7/6/2021-2:44:27.300;508564480;45364068;7640;12385;22;895;21;7;0.0044;-0.8208;0.5553;1.75;-1.54;-1.19;18;32;50
7/6/2021-2:44:27.400;508564428;45364097;7630;11968;21;891;22;7;-0.0551;-0.6310;0.4309;3.22;-3.78;-6.23;20;32;50
7/6/2021-2:44:27.500;508564375;45364118;7640;12089;21;888;22;7;0.0156;-0.6544;0.3894;-0.84;-3.64;-2.52;17;32;52
