Date-Time,Latitude,Longitude,Altitude(cm),GPSSpeed(mknots),CarSpeed(Km/h),Engine(RPM),CarLoad(%),MassAir(g/s),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),T_OBD(ms),T_SAVE(ms),T_MAIN(ms)
6/6/2021-24:38:59.0,508610677,45278897,7000,34319,62,2486,0,38,-0.0264,-1.1590,0.2899,2.03,-5.74,0.00,20,38,58
6/6/2021-24:38:59.100,508610687,45278652,7000,33656,61,2443,0,37,-0.0556,-1.0048,0.1718,2.24,-4.48,-0.98,20,33,53
6/6/2021-24:38:59.200,508610693,45278412,6990,32988,60,2395,0,37,-0.0961,-0.9760,0.2660,0.56,-6.79,-1.68,24,34,54
6/6/2021-24:38:59.300,508610702,45278177,6990,32353,59,2341,0,37,-0.0127,-0.9697,0.2801,2.52,-7.14,-0.21,20,34,58
6/6/2021-24:38:59.400,508610707,45277945,6990,31843,57,2307,0,36,-0.0444,-1.1331,0.3484,1.26,-4.97,-1.68,25,33,53
6/6/2021-24:38:59.500,508610713,45277718,6980,31099,56,2256,0,36,-0.0293,-1.0136,0.3484,0.84,-6.30,-1.96,20,38,63
6/6/2021-24:38:59.600,508610720,45277497,6980,30382,55,2213,0,36,0.0478,-0.9599,0.4426,3.99,-5.95,-0.56,17,33,53
6/6/2021-24:38:59.700,508610725,45277280,6980,29790,54,2160,0,35,-0.1693,-0.9823,0.1493,-0.49,-5.95,-1.33,18,34,51
6/6/2021-24:38:59.800,508610732,45277068,6970,29121,53,2118,0,34,-0.0556,-1.0238,0.2230,2.45,-4.55,-1.61,21,34,52
6/6/2021-24:38:59.900,508610733,45276860,6970,28590,52,2073,0,33,-0.0766,-1.0570,0.3450,4.20,-3.64,-0.14,20,38,59
6/6/2021-24:39:0.0,508610738,45276657,6970,27956,51,2031,0,33,-0.1425,-0.8691,0.4172,4.27,-5.39,-2.17,21,33,53
6/6/2021-24:39:0.100,508610740,45276458,6970,27262,50,2025,0,32,-0.1425,-0.8379,0.5475,3.43,-6.16,-2.10,21,34,55
6/6/2021-24:39:0.200,508610742,45276260,6970,27170,50,2000,0,32,-0.0468,-0.7588,0.5373,2.03,-5.32,-1.05,21,34,55
6/6/2021-24:39:0.300,508610743,45276060,6970,27280,50,2000,0,32,-0.1005,-0.8184,0.5773,1.05,-5.04,0.35,21,33,54
6/6/2021-24:39:0.400,508610745,45275862,6960,27094,50,1989,13,31,-0.1005,-0.8506,0.5895,1.61,-7.56,-1.61,22,38,59
6/6/2021-24:39:0.500,508610747,45275665,6960,27119,50,2019,19,29,-0.0664,-0.7627,0.5900,2.87,-4.62,0.63,20,33,55
6/6/2021-24:39:0.600,508610748,45275467,6960,27019,50,2057,56,23,-0.1269,-0.7906,0.6022,3.99,-4.34,0.98,21,33,53
6/6/2021-24:39:0.700,508610747,45275270,6950,27128,51,2006,81,28,-0.1391,-0.7481,0.5392,4.06,-7.07,-2.10,20,34,55
6/6/2021-24:39:0.800,508610748,45275072,6950,27058,51,2016,97,33,-0.0459,-0.6417,0.6525,2.59,-7.77,-3.01,21,38,58
6/6/2021-24:39:0.900,508610747,45274872,6950,27255,51,2021,99,40,-0.0010,-0.6559,0.6320,-0.07,-7.00,-3.99,19,34,55
6/6/2021-24:39:1.0,508610748,45274672,6950,27483,51,2032,96,43,-0.0605,-0.8125,0.6998,0.49,-5.18,-4.13,18,34,53
6/6/2021-24:39:1.100,508610747,45274468,6950,27685,52,2044,97,44,-0.0708,-0.8862,0.6744,3.01,-3.15,-1.12,22,34,52
6/6/2021-24:39:1.200,508610747,45274265,6940,27811,52,2066,98,46,-0.0556,-0.8062,0.6910,4.27,-2.38,-0.14,22,34,56
6/6/2021-24:39:1.300,508610745,45274060,6940,28114,53,2090,99,48,-0.0512,-0.7481,0.6847,3.01,-2.80,-1.26,20,38,60
6/6/2021-24:39:1.400,508610747,45273853,6940,28307,53,2105,98,51,-0.0405,-0.6578,0.6417,1.05,-4.48,-2.66,22,33,53
6/6/2021-24:39:1.500,508610747,45273643,6930,28681,54,2122,99,52,-0.0478,-0.7222,0.5836,0.49,-4.55,-2.73,20,34,56
6/6/2021-24:39:1.600,508610745,45273432,6930,29004,54,2150,98,54,-0.0673,-0.6637,0.8028,1.61,-4.06,-1.68,22,34,54
6/6/2021-24:39:1.700,508610745,45273217,6930,29373,55,2176,96,56,-0.0176,-0.6974,0.7779,2.38,-3.78,-0.77,22,38,60
6/6/2021-24:39:1.800,508610745,45273000,6920,29596,56,2201,99,59,-0.0117,-0.7359,0.8086,4.83,-3.08,-0.70,17,34,56
6/6/2021-24:39:1.900,508610745,45272782,6920,29947,56,2228,98,62,-0.1000,-0.6046,0.7798,3.08,-2.03,-0.98,21,34,51
6/6/2021-24:39:2.0,508610745,45272558,6920,30442,57,2258,99,65,0.1181,-0.6915,0.6583,2.17,-2.59,-1.61,22,32,53
6/6/2021-24:39:2.100,508610745,45272333,6920,30873,58,2292,97,69,-0.1020,-0.7710,0.5466,1.68,-5.39,-1.54,19,34,56
6/6/2021-24:39:2.200,508610747,45272105,6910,31196,59,2323,99,72,-0.0024,-0.4651,0.5061,0.63,-6.72,-2.94,23,38,57
6/6/2021-24:39:2.300,508610745,45271873,6910,31622,60,2355,99,73,-0.0381,-0.8096,0.8281,1.05,-7.07,-3.50,22,32,55
6/6/2021-24:39:2.400,508610745,45271638,6900,32030,61,2394,97,75,0.0312,-0.6817,0.8433,1.26,-6.51,-2.59,24,34,56
